vehicle_id,camera_id,count,mean,std,p0013,p02,p05
1,S01c003,105,0.9453065395355225,0.028009193018078804,0.8663577520847321,0.8825006318092347,0.8960552096366883
1,S01c002,5151,0.7780805826187134,0.09488735347986221,0.4602277743816376,0.5680056214332581,0.6118410229682922
1,S01c004,21,0.9121490716934204,0.05996014177799225,0.8050570752620697,0.8059508562088012,0.807384729385376
9,S01c003,9591,0.9362971782684326,0.05440153926610947,0.6970216190218925,0.7975998044013977,0.8315886557102203
9,S01c001,190,0.9146243333816528,0.05806495249271393,0.7578309075891971,0.7812863886356354,0.8014528185129166
9,S01c002,231,0.9068511724472046,0.05304425582289696,0.7544860993027687,0.788256847858429,0.81008380651474
9,S01c004,1653,0.771443784236908,0.12643234431743622,0.38087100464105605,0.4911668074131012,0.5495790123939515
36,S01c003,12246,0.9322742819786072,0.059791579842567444,0.5610565555691719,0.7808675825595855,0.8152855336666107
36,S01c001,231,0.9203431606292725,0.04923519864678383,0.7524394223690033,0.7937266111373902,0.8186065852642059
36,S01c002,171,0.9447082281112671,0.03512674197554588,0.8237228558063507,0.8375628471374512,0.8524014055728912
36,S01c004,2278,0.7523494362831116,0.1751200407743454,0.2992725578933954,0.37274177372455597,0.4221665278077126
11,S01c003,13041,0.8035547137260437,0.11791574954986572,0.4332581539154053,0.522609543800354,0.5765647292137146
11,S01c001,78,0.9052934050559998,0.05462411046028137,0.7595849778234959,0.788696129322052,0.8028870612382889
11,S01c002,153,0.920307457447052,0.04214219003915787,0.8156676512241363,0.8388503956794738,0.8488449573516845
11,S01c004,1711,0.8574559092521667,0.08722645044326782,0.5760862945318223,0.6480980634689331,0.6895325779914856
34,S01c003,1653,0.8290758728981018,0.10411287844181061,0.5689251157045364,0.6077836966514587,0.6374129176139831
34,S01c001,253,0.9141301512718201,0.048294343054294586,0.7651711375713348,0.7904200100898743,0.8110870242118835
34,S01c002,55,0.8952988982200623,0.0731496661901474,0.7025718702793121,0.7547820281982421,0.7583562731742859
34,S01c004,1081,0.9308403134346008,0.04679501801729202,0.7317402365207673,0.7655882239341736,0.8432717323303223
7,S01c003,2016,0.8032077550888062,0.12420260906219482,0.41470813147723673,0.5060028791427612,0.5557415783405304
7,S01c001,253,0.8605341911315918,0.0729573592543602,0.6711283236503601,0.6852923560142518,0.7349690556526184
7,S01c002,55,0.8488286733627319,0.11256051063537598,0.5822535398006439,0.6152932024002076,0.6250992000102997
7,S01c004,1596,0.852269172668457,0.12215866893529892,0.44519859996438027,0.4830644905567169,0.552137941122055
54,S01c003,1431,0.7801903486251831,0.1383143663406372,0.452832082092762,0.4913427114486694,0.5224759876728058
54,S01c001,210,0.9053846001625061,0.04544179514050484,0.7842265143573284,0.8040874469280243,0.8230447143316268
54,S01c002,55,0.792301595211029,0.09207341820001602,0.6312216349720955,0.6364550518989563,0.6536170542240143
54,S01c004,861,0.8430362343788147,0.12706772983074188,0.36912620431184767,0.4279570162296295,0.5478125214576721
35,S01c003,820,0.839909017086029,0.0853499174118042,0.6426661113977432,0.6794619941711426,0.7033086985349655
35,S01c001,190,0.9446203708648682,0.02673235349357128,0.896322078794241,0.8984935319423676,0.9026045054197311
35,S01c004,3655,0.953326940536499,0.04162134975194931,0.7824738498806953,0.8311641550064087,0.8605838775634765
8,S01c003,741,0.8458370566368103,0.09398092329502106,0.5813323233127594,0.6475665092468261,0.6760051846504211
8,S01c001,105,0.9163456559181213,0.04102768748998642,0.8144874213218689,0.8391050529479981,0.8555710196495057
8,S01c002,15,0.961307942867279,0.017897067591547966,0.924039701783657,0.9274698352813721,0.9329727232456207
8,S01c004,1326,0.8531834483146667,0.10891497880220413,0.5855187268555164,0.6135426461696625,0.6460416465997696
10,S01c003,496,0.8168951272964478,0.11877095699310303,0.4723071046620607,0.5509235978126525,0.6050265580415726
10,S01c001,28,0.9593172073364258,0.019132087007164955,0.9241132600128651,0.9254454481601715,0.9271021634340286
10,S01c002,1596,0.8304657340049744,0.08416686207056046,0.5937362748384476,0.6453320503234863,0.684785470366478
37,S01c003,666,0.771888792514801,0.11996185779571533,0.4239584932774305,0.5107988357543946,0.5541133880615234
37,S01c001,55,0.8648051619529724,0.06007659435272217,0.6935519755125046,0.7426147413253784,0.7627922594547272
37,S01c002,10,0.8536385297775269,0.0846504420042038,0.7261649446308612,0.732238804101944,0.741982963681221
37,S01c004,1081,0.8287971019744873,0.12454017996788025,0.27405088210105893,0.38671891689300536,0.6408411264419556
12,S01c003,1176,0.8114528656005859,0.11069747805595398,0.49491577588021757,0.5634306967258453,0.6110391765832901
12,S01c001,21,0.9304776787757874,0.031472187489271164,0.8641740003824234,0.8673025012016297,0.8723214864730835
12,S01c002,36,0.8967392444610596,0.059107210487127304,0.7660759626924991,0.7734399974346161,0.7869856357574463
12,S01c004,1128,0.8381527662277222,0.08690133690834045,0.5400492922186851,0.6276500236988067,0.683254498243332
13,S01c003,741,0.7019456624984741,0.21393398940563202,0.22336759451031685,0.25628888607025146,0.3047918975353241
13,S01c001,21,0.9018504619598389,0.06691916286945343,0.7489598097801209,0.7630908846855163,0.7857610583305359
13,S01c002,45,0.9342032670974731,0.02418999746441841,0.8745174226760865,0.8846780896186829,0.8980650782585144
13,S01c004,741,0.726361095905304,0.18033327162265778,0.24299295303225518,0.30810956954956054,0.38320183753967285
44,S01c003,261726,0.9395986795425415,0.07275599986314774,0.5452585954964161,0.7286257445812225,0.7804957926273346
44,S01c001,3403,0.7214994430541992,0.15182915329933167,0.3814963321506977,0.43352089047431946,0.46323993504047395
44,S01c002,3,0.8755400776863098,0.0254520270973444,0.8426274426817894,0.8440143680572509,0.8462393820285797
44,S01c004,276,0.9126333594322205,0.08238178491592407,0.6571973966062069,0.6795551776885986,0.7121687233448029
45,S01c003,903,0.8147686719894409,0.13336032629013062,0.38400236446261404,0.4496773719787598,0.5769263684749604
45,S01c001,2145,0.7497021555900574,0.1516827940940857,0.32788301396369934,0.4293795239925385,0.48883562684059145
45,S01c004,231,0.9240582585334778,0.05751793459057808,0.7592727771401405,0.7796459078788758,0.7914529144763947
33,S01c003,226128,0.9625187516212463,0.08299841731786728,0.6153749716460705,0.7016144371032715,0.7234448492527008
33,S01c002,5050,0.7974877953529358,0.10807282477617264,0.5464340207338333,0.5874198174476624,0.6075668931007385
33,S01c004,292995,0.9143821001052856,0.08902356028556824,0.5350080891728402,0.6188039469718933,0.671658045053482
15,S01c003,903,0.8583259582519531,0.09453721344470978,0.5518926589488983,0.6242007827758789,0.6754711270332336
15,S01c001,15,0.9533005356788635,0.024662410840392113,0.9002410234212875,0.9040736436843873,0.9102222323417664
15,S01c002,45,0.93534255027771,0.02609044313430786,0.8796040543794632,0.8894007754325867,0.8933343172073365
15,S01c004,1081,0.8718616366386414,0.0774269625544548,0.6657774937152863,0.6969125866889954,0.7162318229675293
14,S01c003,780,0.817129909992218,0.12789012491703033,0.3801444857746363,0.45585120499134063,0.5369297116994858
14,S01c001,78,0.9051322937011719,0.049367114901542664,0.7255954535543918,0.7967077887058258,0.8333832353353501
14,S01c002,10,0.8740665316581726,0.06530259549617767,0.7619316406905651,0.7652554953098297,0.770587882399559
14,S01c004,561,0.7809370756149292,0.1287968009710312,0.4040407507419586,0.4720637321472168,0.5353009104728699
38,S01c003,903,0.8227304816246033,0.09371531754732132,0.48444933660030365,0.5910035705566407,0.6315713822841644
38,S01c001,105,0.87199467420578,0.05501168221235275,0.7237807579994202,0.7436816501617431,0.7789459347724914
38,S01c004,1176,0.7681673169136047,0.15834622085094452,0.31594634748995304,0.3847334682941437,0.47368066012859344
17,S01c003,465,0.7229453921318054,0.18655695021152496,0.21980538439750671,0.29133610606193544,0.41344466209411623
17,S01c001,15,0.9352284073829651,0.023844795301556587,0.8871811347484588,0.8884308052062988,0.8904356241226197
17,S01c002,28,0.8969067335128784,0.07596538960933685,0.728614540797472,0.7349905478954315,0.7464088201522827
17,S01c004,666,0.7783085107803345,0.13132162392139435,0.47301707608997823,0.5062382757663727,0.5373939126729965
18,S01c003,741,0.738945722579956,0.1447482407093048,0.4029183767437935,0.4685664474964142,0.5087151527404785
18,S01c001,15,0.9170634150505066,0.043995484709739685,0.8218000765562058,0.8305483627319336,0.8445830464363098
18,S01c002,36,0.9098222255706787,0.036971356719732285,0.8415286948978901,0.8466804802417756,0.8490993231534958
18,S01c004,703,0.8403793573379517,0.0849136933684349,0.5482700084328651,0.6338753890991211,0.6944636881351471
16,S01c003,1128,0.7672484517097473,0.14310111105442047,0.401985432946682,0.45361329317092897,0.5104916006326675
16,S01c001,105,0.9308003187179565,0.04155227914452553,0.7928311475276947,0.822910282611847,0.8357460141181946
16,S01c002,21,0.8995000123977661,0.06064922735095024,0.7510882998704911,0.7646579027175904,0.7864273190498352
16,S01c004,2485,0.8268968462944031,0.10325818508863449,0.42018236583471297,0.567245762348175,0.6360818266868591
55,S01c003,703,0.804097056388855,0.12306804209947586,0.426313743698597,0.5062037587165833,0.559945148229599
55,S01c001,78,0.9342794418334961,0.035823941230773926,0.8268842444002629,0.8505386614799499,0.8650322049856186
55,S01c004,820,0.801780641078949,0.1327984482049942,0.39226782116293907,0.4720482623577118,0.5383161395788193
39,S01c003,325,0.8263891339302063,0.09720098972320557,0.5012417591810227,0.6195439171791076,0.6438631057739258
39,S01c001,78,0.9214941263198853,0.043341752141714096,0.7995835922122002,0.832519474029541,0.8422962248325347
39,S01c004,946,0.7992804646492004,0.13348133862018585,0.3657594582736492,0.47207559645175934,0.5569223910570145
19,S01c003,741,0.8200775980949402,0.09912344068288803,0.5513069355487823,0.5950760245323181,0.6310630440711975
19,S01c001,55,0.8752255439758301,0.05187658220529556,0.7485610635399819,0.7759580039978027,0.7954525709152221
19,S01c002,10,0.8670818209648132,0.06842103600502014,0.7355587309896946,0.7448234379291534,0.759686604142189
19,S01c004,1485,0.8045443296432495,0.1259819120168686,0.37400916938781736,0.47732929944992064,0.5494805097579956
20,S01c003,741,0.8083959817886353,0.12402910739183426,0.4041098183989525,0.5015585422515869,0.5806987285614014
20,S01c001,55,0.9396874904632568,0.03279855474829674,0.8723050818204879,0.8748283100128174,0.8799405217170715
20,S01c002,10,0.9162784814834595,0.046557534486055374,0.8374257152318955,0.8376770234107971,0.8380801916122437
20,S01c004,1326,0.764496922492981,0.15662126243114471,0.3106859352439642,0.3871311992406845,0.46692413091659546
21,S01c003,528,0.8519492149353027,0.08633717149496078,0.6044963822305203,0.6721483206748963,0.6973061770200729
21,S01c001,15,0.8976455330848694,0.046506479382514954,0.8053245226979255,0.8162274932861329,0.833718889951706
21,S01c002,45,0.8817355036735535,0.06160091236233711,0.7110507543087006,0.7692453145980835,0.7930274963378906
21,S01c004,780,0.8385884761810303,0.10436655580997467,0.5498801618993282,0.5864860141277313,0.6144613057374955
22,S01c003,703,0.7962806224822998,0.11825579404830933,0.4895878077447414,0.5484154796600342,0.5812931001186371
22,S01c001,78,0.8809941411018372,0.06793075054883957,0.67555666821599,0.6937275898456573,0.7378901928663254
22,S01c002,6,0.8754692077636719,0.07035297155380249,0.7444225675165653,0.7529014766216278,0.7665040045976639
22,S01c004,1081,0.7423179149627686,0.16710598766803741,0.2722983694076538,0.4182636260986328,0.4711945950984955
24,S01c003,630,0.7549195289611816,0.16283634305000305,0.3499159063667059,0.41695822179317477,0.4568059742450714
24,S01c001,15,0.9123650789260864,0.03645778447389603,0.8594294888496399,0.8597948837280274,0.8603810787200927
24,S01c002,45,0.8813093304634094,0.07330862432718277,0.6799862359523773,0.7049371027946472,0.7259542107582092
24,S01c004,990,0.810475766658783,0.11240570992231369,0.45776076468229293,0.5476229560375213,0.5922016352415085
25,S01c003,1225,0.8640758395195007,0.07009558379650116,0.5960533283233642,0.6481669187545777,0.7511977195739746
25,S01c001,21,0.923753023147583,0.051271162927150726,0.8054133694171905,0.8216335296630859,0.847655177116394
25,S01c002,2850,0.8401331901550293,0.09213107824325562,0.5344159126341342,0.5993211138248443,0.6608028054237366
40,S01c003,630,0.9226890802383423,0.04026144742965698,0.8034500094354152,0.8299776017665863,0.851243457198143
40,S01c001,66,0.9336616396903992,0.03190736472606659,0.8525502601861954,0.8594518721103668,0.8783294260501862
40,S01c004,903,0.904153048992157,0.06444843858480453,0.7291707978129387,0.7634791040420532,0.7821932077407837
49,S01c003,115921,0.9022322297096252,0.08251973986625671,0.5812060513496399,0.6580354928970337,0.7198261022567749
49,S01c001,190,0.9267279505729675,0.045456040650606155,0.7765703229069709,0.816749074459076,0.8397082835435867
49,S01c002,190,0.9266343116760254,0.04388894513249397,0.8174530012607575,0.8367140412330627,0.8548492193222046
49,S01c004,990,0.8578119277954102,0.07047634571790695,0.6759053944945336,0.7155418694019318,0.7390240281820297
48,S01c003,111156,0.8721343278884888,0.13617824018001556,0.2583315151333809,0.42467969059944155,0.5535053610801697
48,S01c001,136,0.9150838851928711,0.054604422301054,0.7919062723219394,0.7993662834167481,0.8106019794940948
48,S01c002,210,0.9224907755851746,0.04019458591938019,0.8159518327474594,0.8404163372516632,0.8514251559972763
48,S01c004,351,0.836642861366272,0.11395587772130966,0.45043390840291975,0.5047504305839539,0.5671786367893219
42,S01c003,4095,0.815937876701355,0.10672611743211746,0.477629522973299,0.5552314138412475,0.6080753684043885
42,S01c001,4656,0.8525398373603821,0.10640595853328705,0.5284952139854431,0.5975785255432129,0.6434278190135956
26,S01c003,190,0.9306266903877258,0.03687235713005066,0.855778196656704,0.8675908982753754,0.8748719185590744
26,S01c001,1485,0.9110274314880371,0.04866773262619972,0.7709600746393204,0.8007817435264587,0.8171222329139709
26,S01c002,186966,0.9423854947090149,0.05292908474802971,0.686335970968008,0.7805846691131592,0.8268004059791565
26,S01c004,276,0.9554016590118408,0.02576405368745327,0.8727527989447117,0.888565868139267,0.9045795351266861
47,S01c003,12403,0.7942052483558655,0.10309424996376038,0.4239804962456226,0.5248370051383973,0.5812012791633606
47,S01c001,3486,0.8088071942329407,0.1145244836807251,0.5019574373960495,0.5684923112392426,0.6017496436834335
47,S01c002,6,0.867213785648346,0.07032789289951324,0.7295116410553455,0.7403287947177887,0.7576825171709061
47,S01c004,276,0.9154412746429443,0.05625265836715698,0.7516004464030266,0.7819644510746002,0.8088200092315674
27,S01c003,703,0.8998422622680664,0.0580468513071537,0.6965903691291809,0.751693286895752,0.7839867472648621
27,S01c001,30135,0.8743541836738586,0.08444934338331223,0.5071063579440117,0.6315326046943665,0.708633017539978
27,S01c002,5671,0.7986587882041931,0.11200709640979767,0.43998779833316803,0.5410622596740723,0.5990272760391235
27,S01c004,253,0.9327788352966309,0.04195275157690048,0.81689541451931,0.8359952855110169,0.8506328225135803
51,S01c003,73920,0.8114281296730042,0.13190701603889465,0.364807456356287,0.4887008184194565,0.5526209652423859
51,S01c001,120,0.9055060744285583,0.04077515751123428,0.8018865766108036,0.8325379014015197,0.8375308334827423
51,S01c002,231,0.9001116752624512,0.06835193932056427,0.6711587878465652,0.7031051278114319,0.7337008118629456
51,S01c004,1891,0.8042680621147156,0.13397100567817688,0.398800030529499,0.48333928585052494,0.5397374033927917
29,S01c003,561,0.9269812703132629,0.03965730592608452,0.7951466732025146,0.8349524736404419,0.855925977230072
29,S01c001,1035,0.8992765545845032,0.05776882544159889,0.7350498873353004,0.7812253212928773,0.7969946444034577
29,S01c002,5565,0.807334840297699,0.10685902088880539,0.4124268501996994,0.5824862265586853,0.6278453946113587
29,S01c004,190,0.9348996877670288,0.044722069054841995,0.7688646779954433,0.7968242633342743,0.8283739924430847
43,S01c003,1653,0.8537306785583496,0.09940467029809952,0.5400016344070434,0.6115062999725341,0.6527174472808838
43,S01c001,703,0.8838152885437012,0.06715429574251175,0.6955446539878846,0.7489472675323486,0.7736932098865509
31,S01c003,325,0.9317290782928467,0.034323256462812424,0.8263291172266006,0.8538043284416199,0.8692606329917908
31,S01c001,2080,0.8622713088989258,0.08747987449169159,0.5733985636889934,0.6459344482421875,0.7015622079372406
31,S01c002,4371,0.8357077836990356,0.08870910853147507,0.5427949159145355,0.6304765939712524,0.6710341572761536
31,S01c004,105,0.9474881887435913,0.029858358204364777,0.8616689329624176,0.8775606083869935,0.8957226514816284
32,S01c003,105,0.9254986047744751,0.03589564561843872,0.829207379245758,0.8463947939872741,0.86627699136734
32,S01c001,2211,0.8117514848709106,0.12310438603162766,0.46646272817254064,0.5160134553909301,0.5609728395938873
32,S01c002,2556,0.8440816402435303,0.08872204273939133,0.529273514598608,0.6354770004749298,0.6748080253601074
32,S01c004,55,0.9126057028770447,0.03776199743151665,0.8396636020302772,0.8429445552825928,0.8437524676322937
28,S01c003,4851,0.8064197897911072,0.08686072379350662,0.5800691530108452,0.6311807036399841,0.660892128944397
28,S01c001,703,0.8982239365577698,0.04968298599123955,0.7432741870164872,0.7948592066764831,0.8096257090568543
28,S01c002,6786,0.8254143595695496,0.1005893424153328,0.49022785446047784,0.6068501472473145,0.6447407007217407
